,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count,smiles
0,0,2,2,0,0,4,0,0,0,0,0.0,780.8639999999999,4,4.0,6.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O1)cc5)cc4)c(OC)c3)c(OC)c2
0,0,2,3,0,0,2,1,0,1,0,0.0,987.0609999999999,5,5.0,8.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c3c(c4c(O)c(OC)cc(CC(CO)O3)c4)c2)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)c(OC)c2)c(OC)c1
0,0,1,5,0,0,4,0,0,1,0,0.0,1229.3319999999999,6,6.0,11.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)c(OC)c3)c(OC)c2)c(OC)c1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(O)c(OC)c3)c(OC)c2)cc1
0,0,1,3,0,0,4,0,0,0,0,0.0,810.89,4,4.0,7.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O1)c(OC)c5)c(OC)c4)c(OC)c3)cc2
0,0,2,1,0,0,3,0,0,0,0,0.0,570.635,3,3.0,4.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O1)cc4)cc3)c(OC)c2
0,0,3,6,0,0,7,0,0,1,0,0.0,1799.967,9,9.0,15.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)c(OC)c4)cc3)c(OC)c2)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O)c(OC)c5)c(OC)c4)c(OC)c3)cc2)cc1
0,0,2,2,0,0,4,0,0,0,0,0.0,780.8639999999999,4,4.0,6.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O1)cc5)c(OC)c4)cc3)c(OC)c2
0,0,3,5,0,0,5,0,1,1,0,0.0,1587.722,8,8.0,13.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c3c(C(CO)C(c4cc(OC)c(OC(CO)Cc5cc(OC)c(O)cc5)cc4)O3)c2)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)c(OC)c4)c(OC)c3)c(OC)c2)c(OC)c1
0,0,1,2,0,0,2,0,1,0,0,0.0,598.645,3,3.0,5.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c4c(C(CO)C(c5cc(OC)c(O1)c(OC)c5)O4)c3)c(OC)c2
0,0,2,1,0,0,3,0,0,0,0,0.0,570.635,3,3.0,4.0,OCC1Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O1)cc4)cc3)c(OC)c2
