,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count,smiles
0,0,1,5,0,0,4,0,0,1,0,0.0,1229.3319999999999,6,6.0,11.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(O)c(OC)c3)c(OC)c2)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)c(OC)c2)c(OC)c1
0,0,4,2,0,0,4,0,0,1,0,0.0,1139.254,6,6.0,8.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(O)c(OC)c2)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)cc3)c(OC)c2)cc1
0,1,3,1,0,0,2,0,1,1,0,0.0,896.983,5,5.0,5.0,Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c5c(C(CO)C(c6ccc(O)cc6)O5)c4)cc3)c(OC)c2)cc1
0,1,4,1,0,0,4,0,0,1,0,0.0,1079.202,6,6.0,6.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3ccc(OC(CO)Cc4cc(OC)c(O)cc4)cc3)c(OC)c2)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)cc2)cc1
0,0,5,4,0,0,7,0,0,1,0,0.0,1739.915,9,9.0,13.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(O)c(OC)c3)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c(O)cc6)c(OC)c5)cc4)cc3)c(OC)c2)c(OC)c1
0,0,3,1,0,0,1,0,1,1,0,0.0,746.8059999999999,4,4.0,5.0,OCC(Cc1cc(OC)c2c(C(CO)C(c3cc(OC)c(O)cc3)O2)c1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(O)cc2)cc1OC
0,0,3,4,0,0,5,0,0,1,0,0.0,1379.509,7,7.0,11.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)c(OC)c4)cc3)cc2)c(OC)c1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(O)c(OC)c3)c(OC)c2)cc1
0,2,1,3,0,0,4,0,0,1,0,0.0,1109.228,6,6.0,7.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3ccc(O)cc3)c(OC)c2)c(OC)c1)Oc1c(OC)cc(C2OCC3C(OCC32)c2ccc(OC(CO)Cc3cc(OC)c(O)c(OC)c3)cc2)cc1
0,0,1,4,0,0,3,0,0,1,0,0.0,1019.103,5,5.0,9.0,Oc1c(OC)cc(CC(CO)Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O)c(OC)c5)c(OC)c4)c(OC)c3)cc2)cc1OC
0,0,7,3,0,0,5,0,3,1,0,0.0,1884.0439999999999,10,10.0,13.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c5c(C(CO)C(c6cc(OC)c(O)c(OC)c6)O5)c4)cc3)cc2)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c3c(C(CO)C(c4cc(OC)c(OC(CO)Cc5cc(OC)c6c(C(CO)C(c7cc(OC)c(O)c(OC)c7)O6)c5)c(OC)c4)O3)c2)cc1
