,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count,smiles
0,0,7,0,0,0,5,0,1,0,0,0.0,1259.405,7,8.0,7.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(CC(Oc3c(OC)cc(C4C(c5c(O4)c(OC)cc(CC(Oc4c(OC)cc(C=CCO)cc4)CO)c5)CO)cc3)CO)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)cc2)cc1
0,0,10,0,0,0,7,0,2,0,0,0.0,1797.9979999999998,10,11.0,10.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C(c4c(O3)c(OC)cc(CC(Oc3c(OC)cc(C=CCO)cc3)CO)c4)CO)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c3c(C(CO)C(c4cc(OC)c(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c(OC(CO)Cc7cc(OC)c(O)cc7)cc6)cc5)cc4)O3)c2)cc1
0,0,4,0,0,0,2,0,0,1,0,0.0,718.796,4,4.0,4.0,Oc1c(OC)cc(CC(CO)Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)cc3)cc2)cc1
0,0,5,0,0,0,4,0,0,0,0,0.0,901.015,5,6.0,5.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C=CCO)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)cc2)cc1
0,0,7,0,0,0,4,0,2,0,0,0.0,1257.389,7,8.0,7.0,OCC1C(Oc2c(OC)cc(C3C(c4c(O3)c(OC)cc(CC(Oc3c(OC)cc(CC(Oc5c(OC)cc(C=CCO)cc5)CO)cc3)CO)c4)CO)cc21)c1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)cc2)cc1
0,0,7,0,0,0,4,0,1,1,0,0.0,1257.389,7,7.0,7.0,Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c7c(C(CO)C(c8cc(OC)c(O)cc8)O7)c6)cc5)cc4)cc3)cc2)cc1
0,0,6,0,0,0,3,0,1,1,0,0.0,1077.186,6,6.0,6.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C(c4c(O3)c(OC)cc(C3C5COC(C5CO3)c3cc(OC)c(O)cc3)c4)CO)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)cc2)cc1
0,0,4,0,0,0,2,0,1,0,0,0.0,718.796,4,5.0,4.0,OCC1C(Oc2c(OC)cc(CC(Oc3c(OC)cc(C=CCO)cc3)CO)cc21)c1cc(OC)c(OC(CO)Cc2cc(OC)c(O)cc2)cc1
0,0,5,0,0,0,4,0,0,0,0,0.0,901.015,5,6.0,5.0,OCC(Oc1c(OC)cc(C=CCO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)cc3)cc2)cc1
0,0,4,0,0,0,1,0,2,0,0,0.0,716.78,4,5.0,4.0,OCC=Cc1cc(OC)c2c(C(CO)C(c3cc(OC)c(OC(CO)Cc4cc(OC)c5c(C(CO)C(c6cc(OC)c(O)cc6)O5)c4)cc3)O2)c1
